contract,line
_0xEthereumToken_1664.xlsx,38
_0x_1611.xlsx,38
Acid_798.xlsx,39
AccountCreator_822.xlsx,259
AccountLogic_1962.xlsx,103
Aggregator_1751.xlsx,900
AFX_938.xlsx,38
Aggregator_2289.xlsx,900
AKTToken_5625.xlsx,52
AirBasicToken_803.xlsx,60
ALSC_3050.xlsx,42
AnxToken_5510.xlsx,70
ArdCoin_5141.xlsx,60
ATOMUCOIN_3220.xlsx,145
ASCToken_5356.xlsx,11
AroundTheWorldTravel_2725.xlsx,145
AuthorizationDataSource_4941.xlsx,11
AToken_2035.xlsx,806
BoosterPack_661.xlsx,272
AuthorizationDataSource_517.xlsx,10
BiggCash_5860.xlsx,644
BitcoinProtocol_1160.xlsx,110
Broadcast_704.xlsx,35
Broker_1432.xlsx,66
BOMBXToken_3837.xlsx,106
BrokerV2_4263.xlsx,124
BusinessAlliance_2268.xlsx,145
CapitalCoinExtended_502.xlsx,84
CashQuestBot_4865.xlsx,42
CASTWEETTOKEN_5548.xlsx,35
CampaignBank_1180.xlsx,95
CfoCoin_3726.xlsx,642
ChainBot4000_4811.xlsx,183
CIMCoin_3145.xlsx,11
CLOG_630.xlsx,68
COINSTO_1188.xlsx,70
COMBO_227.xlsx,124
CompoundManager_2842.xlsx,707
CreativesRegistry_2807.xlsx,36
CryptoGames_22.xlsx,94
CoinSuter_1909.xlsx,155
Cube_748.xlsx,274
CSPLSPLGatewayV11_1507.xlsx,205
CRYPTOBUCKS_856.xlsx,14
Curvepool_473.xlsx,235
cUSD_1550.xlsx,156
CypherBank_2079.xlsx,6
DaiBackstopSyndicateV3_305.xlsx,664
DappLogic_866.xlsx,407
DappLogic_1959.xlsx,101
DarkCountry_166.xlsx,1230
DeltaTimeInventory_913.xlsx,2134
DelegatedSending_5861.xlsx,17
Deposit_1141.xlsx,117
DEXT_589.xlsx,38
DharmaReserveManagerV2_782.xlsx,141
DinngoProxy_3182.xlsx,44
DMEX_Oracle_1196.xlsx,67
DMEX_Trading_1195.xlsx,56
DoYourTip_1971.xlsx,48
DSSLeverage_311.xlsx,30
EDC_456.xlsx,41
DrepToken_4954.xlsx,19
EpayCoin_3758.xlsx,39
ERC20_3670.xlsx,3
ERC20Token_158.xlsx,1149
ERC20Token_648.xlsx,249
ERC20toUniPoolZapV2_General_554.xlsx,373
ETH_1169.xlsx,38
ETH_1259.xlsx,38
ETH_1260.xlsx,38
ETH_1262.xlsx,38
ETH_960.xlsx,38
Ethbus_1370.xlsx,29
EtheremonTrade_3437.xlsx,34
EthexLoto_105.xlsx,15
EventRecorder_4292.xlsx,62
EthexLoto_1763.xlsx,15
EWEUR_4724.xlsx,347
Exchange_5101.xlsx,1296
EXMR_FDN_3730.xlsx,14
EXEToken_1596.xlsx,8
FaucetPay_3204.xlsx,14
F1DeltaCrate_911.xlsx,1297
Flower_1173.xlsx,3
Fomo5k_1041.xlsx,3
Forwarder_1277.xlsx,30
GENEToken_5210.xlsx,141
FountainTokenUpgrade_3486.xlsx,45
GoMoney2_3677.xlsx,72
GtanToken_472.xlsx,41
GranC_1174.xlsx,31
HarmonyOne_4933.xlsx,68
HedgeContract_1066.xlsx,143
HKExCoin_920.xlsx,62
HEXPOOL_966.xlsx,445
IdallToken_2209.xlsx,198
Inflationary_3746.xlsx,46
jackpot_1623.xlsx,75
IzeToken_1884.xlsx,31
Jobchain_1838.xlsx,53
KillToken_774.xlsx,10
KOLVote_2618.xlsx,36
KOKContract_927.xlsx,6
KriosToken_1656.xlsx,39
LinkdropFactory_4753.xlsx,502
KUBToken_2498.xlsx,204
LitionPool_636.xlsx,59
LUCKYToken_562.xlsx,252
LivenCoin_4956.xlsx,17
LYFToken_4375.xlsx,346
MainContract_700.xlsx,25
MACH_4281.xlsx,98
MainToken_1573.xlsx,280
MainToken_1855.xlsx,280
MainToken_2031.xlsx,280
MainToken_2645.xlsx,560
MaiProtocol_2737.xlsx,258
MakerManager_2841.xlsx,696
MakerV2Manager_2847.xlsx,622
ManagerProxy_1995.xlsx,23
MarbleCoin_5629.xlsx,584
MarketplaceElectron_712.xlsx,8
MRDF_323.xlsx,35
