contract,line
_0xEthereumToken_1664.xlsx,64
_0x_1611.xlsx,64
Acid_798.xlsx,3
AFX_938.xlsx,64
AKTToken_5625.xlsx,83
AirBasicToken_803.xlsx,207
ALSC_3050.xlsx,60
AnxToken_5510.xlsx,101
APIX_4276.xlsx,443
APPCrowdsale_5746.xlsx,643
APPCrowdsale_5746.xlsx,728
ArdCoin_5141.xlsx,90
ATOMUCOIN_3220.xlsx,3
ASCToken_5356.xlsx,60
AroundTheWorldTravel_2725.xlsx,3
AToken_2035.xlsx,609
BiggCash_5860.xlsx,587
BETRA_4337.xlsx,232
BitcoinProtocol_1160.xlsx,62
Broadcast_704.xlsx,61
BOMBXToken_3837.xlsx,331
BusinessAlliance_2268.xlsx,3
CapitalCoinExtended_502.xlsx,122
CASTWEETTOKEN_5548.xlsx,112
CfoCoin_3726.xlsx,538
Chai_2893.xlsx,48
CIMCoin_3145.xlsx,389
CLOG_630.xlsx,99
COINSTO_1188.xlsx,101
COMBO_227.xlsx,75
CryptoMorphMint_1428.xlsx,988
CoinSuter_1909.xlsx,3
CSPLSPLGatewayV11_1507.xlsx,1370
CRYPTOBUCKS_856.xlsx,307
cUSD_1550.xlsx,49
CypherBank_2079.xlsx,23
Dai_3287.xlsx,69
DaiBackstopSyndicateV3_305.xlsx,871
DATA1TokenERC20_448.xlsx,7
DarkCountry_166.xlsx,1074
DCEP_3712.xlsx,18
DeltaTimeInventory_913.xlsx,2655
DEXT_589.xlsx,64
DigitalBitsToken_5560.xlsx,330
DPTToken_5820.xlsx,249
DoYourTip_1971.xlsx,74
EDC_456.xlsx,285
DrepToken_4954.xlsx,3
EpayCoin_3758.xlsx,281
ERC20_3670.xlsx,81
ERC20_5248.xlsx,5
ERC20Token_158.xlsx,1027
ERC20Token_158.xlsx,1519
ERC20Token_158.xlsx,1553
ERC20Token_648.xlsx,324
ERC20Token_928.xlsx,89
ERDToken_4266.xlsx,619
ESCHToken_5458.xlsx,3
ETH_1169.xlsx,64
ETH_1259.xlsx,64
ETH_1260.xlsx,64
ETH_1262.xlsx,64
ETH_960.xlsx,64
EtherCloud_908.xlsx,10
EthexLoto_105.xlsx,980
EticaRelease_3466.xlsx,95
EthexLoto_1763.xlsx,980
EvoCoinToken_1122.xlsx,298
EWEUR_4724.xlsx,296
Exchange_1314.xlsx,64
EXMR_FDN_3730.xlsx,118
EXEToken_1596.xlsx,11
F1DeltaCrate_911.xlsx,660
FCHToken_3666.xlsx,638
FCTV_4807.xlsx,294
FlitToken_3078.xlsx,44
Flower_1173.xlsx,22
FZC_441.xlsx,9
GENEToken_5210.xlsx,94
FountainTokenUpgrade_3486.xlsx,717
GL_ERC20_144.xlsx,3
GoMoney2_3677.xlsx,139
GtanToken_472.xlsx,311
GranC_1174.xlsx,17
HALE_5886.xlsx,94
HALE_916.xlsx,98
HappyPayToken_2315.xlsx,507
HarmonyOne_4933.xlsx,99
HBToken_457.xlsx,84
HCE_5366.xlsx,283
HedgeContract_1066.xlsx,600
HKExCoin_920.xlsx,440
HumanStandardToken_327.xlsx,79
HEXPOOL_966.xlsx,74
ICNode_3699.xlsx,6
Huptex_BurnV1_0_1_3135.xlsx,48
IdallToken_2209.xlsx,301
Inflationary_3746.xlsx,81
IPOS_2414.xlsx,279
jackpot_1623.xlsx,99
IzeToken_1884.xlsx,572
JUSToken_841.xlsx,5
Jobchain_1838.xlsx,529
KeyboardToken_3989.xlsx,15
KillToken_774.xlsx,185
KOCToken_1153.xlsx,14
KOLVote_2618.xlsx,169
KOKContract_927.xlsx,37
KriosToken_1656.xlsx,224
KUBToken_2498.xlsx,93
LUCKYToken_562.xlsx,393
LivenCoin_4956.xlsx,95
LYFToken_4375.xlsx,31
MACH_4281.xlsx,470
MainToken_1573.xlsx,679
MainToken_1855.xlsx,679
MainToken_2031.xlsx,679
MainToken_2645.xlsx,1358
MarbleCoin_5629.xlsx,506
MBCT_1882.xlsx,15
MRDF_323.xlsx,61
MintableToken_2301.xlsx,915
MSATToken_2856.xlsx,93
MysteriousSound_5081.xlsx,1345
MyAdvancedToken_2269.xlsx,65
MyToken_5062.xlsx,7
NightlightToken_2149.xlsx,396
NNCProjectToken_2895.xlsx,714
OBSR_2176.xlsx,41
NuLink_965.xlsx,11
OrchidToken_2780.xlsx,532
Pegasus_4899.xlsx,35
PIXBY_3753.xlsx,4
ProofOfContributionChainToken_5466.xlsx,3
QurasToken_4611.xlsx,99
PZMToken_827.xlsx,68
Rainbow_2843.xlsx,82
RakunCoin_1913.xlsx,316
RICH_731.xlsx,90
RHC_2764.xlsx,134
SBToken_2980.xlsx,59
S3Coin_5127.xlsx,120
Scanetchain_5318.xlsx,439
RippleAlpha_2879.xlsx,295
RVC_4769.xlsx,3
SCATTER_2312.xlsx,64
SEAK_3786.xlsx,37
Simbcoin_4450.xlsx,436
ShuffleToken_5470.xlsx,576
ShitCoin_5444.xlsx,64
SimpleToken_3131.xlsx,38
SmartexToken_288.xlsx,245
SolaToken_5526.xlsx,87
SpyceToken_4070.xlsx,529
STPAY_4443.xlsx,54
SToken_4455.xlsx,54
StandardBounties_2396.xlsx,4
SYNCContract_2381.xlsx,86
TelomereToken_3562.xlsx,563
SWCToken_4877.xlsx,192
SynchroBitcoin_2570.xlsx,96
TEPTokenV2_3216.xlsx,580
TetherToken_2078.xlsx,527
THENODE_4431.xlsx,503
TimeAlly_5756.xlsx,288
Token_2291.xlsx,9
Token_2270.xlsx,174
TMTToken_3416.xlsx,12
Token_2610.xlsx,763
Token_3556.xlsx,3
TokenERC20_1858.xlsx,5
TokenAsset_2310.xlsx,523
TokenERC20_2831.xlsx,7
TokenERC20_5102.xlsx,7
TokenERC20_4099.xlsx,7
TokenERC20_4673.xlsx,11
TokenERC20_5627.xlsx,7
TokenProxy_3653.xlsx,1034
TokenSale_3802.xlsx,819
Tratok_5405.xlsx,263
Treelion_4564.xlsx,102
TrifoliumCoin_1479.xlsx,102
TrueINR_5146.xlsx,102
TuneToken_5331.xlsx,263
TZVC_4813.xlsx,119
USD_291.xlsx,61
USDX_193.xlsx,64
UzNEX_2512.xlsx,7
VE_2745.xlsx,614
VIP_2122.xlsx,87
Version_1080.xlsx,7
VIToken_1425.xlsx,88
VONNI_3506.xlsx,28
weeWMA_4791.xlsx,31
WalletDeployer_5416.xlsx,24
WhaleCoin_2116.xlsx,102
WPT_5379.xlsx,94
WWXToken_5026.xlsx,264
WET_4895.xlsx,41
WrapperDai_2603.xlsx,586
WXB_1032.xlsx,18
XMDToken_5764.xlsx,102
XPAYPro_2493.xlsx,102
yDAI_1246.xlsx,102
yDAI_868.xlsx,134
YottaCoin_5079.xlsx,209
YOUToken_202.xlsx,230
ZMTKToken_5267.xlsx,89
ZEBELLION_293.xlsx,64
YSM_1036.xlsx,18
Zedd_4521.xlsx,67
ZXLToken_487.xlsx,402
