contract,line
APPCrowdsale_5746.xlsx,184
AppProxyUpgradeable_2399.xlsx,1403
AToken_2035.xlsx,153
BoosterPack_661.xlsx,353
BrokerV2_4263.xlsx,195
CSPLSPLGatewayV11_1507.xlsx,1830
DSSLeverage_311.xlsx,62
Exchange_5101.xlsx,1221
Exchange_1314.xlsx,178
MysteriousSound_5081.xlsx,186
Payroll_3365.xlsx,731
RebalanceAuctionModule_5367.xlsx,15
RebalancingSetExchangeIssuanceModule_5123.xlsx,11
SmartexCrowdsale_286.xlsx,186
SmartexExchange_123.xlsx,73
StakingContract_2171.xlsx,328
UniSwap_ETH_DAIZap_2709.xlsx,353
UniSwapRemoveLiquityGeneral_v1_1481.xlsx,320
yCurveExchange_486.xlsx,28
yCurveZapIn_721.xlsx,29
yDAI_1246.xlsx,123
yDAI_868.xlsx,155
