contract,line
AccountCreator_822.xlsx,110
AccountCreator_822.xlsx,115
AccountCreator_822.xlsx,415
AccountCreator_822.xlsx,420
AccountCreator_822.xlsx,656
AccountLogic_1962.xlsx,22
AccountLogic_1962.xlsx,588
AccountLogic_1962.xlsx,593
Aggregator_1751.xlsx,858
Aggregator_1751.xlsx,1327
Aggregator_1751.xlsx,1338
Aggregator_1751.xlsx,1349
Aggregator_1751.xlsx,1363
Aggregator_2289.xlsx,858
Aggregator_2289.xlsx,1327
Aggregator_2289.xlsx,1338
Aggregator_2289.xlsx,1349
Aggregator_2289.xlsx,1363
AppProxyUpgradeable_2399.xlsx,405
AppProxyUpgradeable_2399.xlsx,410
AppProxyUpgradeable_2399.xlsx,1570
AppProxyUpgradeable_2399.xlsx,1603
AppProxyUpgradeable_2399.xlsx,1608
AToken_2035.xlsx,755
AToken_2035.xlsx,2620
AToken_2035.xlsx,2628
AToken_2035.xlsx,3270
AToken_2035.xlsx,3278
AToken_2035.xlsx,5197
AToken_2035.xlsx,5219
AToken_2035.xlsx,5229
BatPay_5272.xlsx,367
BitcoinProtocol_1160.xlsx,105
BrokerV2_4263.xlsx,1824
BrokerV2_4263.xlsx,1830
BrokerV2_4263.xlsx,1836
CENNZReward_4072.xlsx,27
CompoundManager_2842.xlsx,395
CompoundManager_2842.xlsx,403
CompoundManager_2842.xlsx,411
CompoundManager_2842.xlsx,476
CryptoGames_22.xlsx,83
CryptoGames_22.xlsx,89
CryptoGames_22.xlsx,98
CryptoGames_22.xlsx,106
Cube_748.xlsx,309
Curvepool_473.xlsx,540
Curvepool_473.xlsx,603
CypherBank_2079.xlsx,26
CypherBank_2079.xlsx,31
DaiBackstopSyndicateV3_305.xlsx,2101
DappLogic_866.xlsx,327
DappLogic_866.xlsx,562
DappLogic_866.xlsx,567
DappLogic_866.xlsx,892
DappLogic_866.xlsx,897
DappLogic_1959.xlsx,21
DappLogic_1959.xlsx,256
DappLogic_1959.xlsx,261
DarkCountry_166.xlsx,1512
DeltaTimeInventory_913.xlsx,2328
DelegatedSending_5861.xlsx,1918
DelegatedSending_5861.xlsx,1928
DharmaReserveManagerV2_782.xlsx,764
DinngoProxy_3182.xlsx,334
DMEX_Trading_1195.xlsx,62
DMEX_Trading_1195.xlsx,287
ERC20Token_158.xlsx,1396
ERC20Token_158.xlsx,1404
ETHERAUK_1151.xlsx,62
EtheremonTrade_3437.xlsx,457
EtheremonTrade_3437.xlsx,534
EtheremonTrade_3437.xlsx,547
EthexLoto_105.xlsx,87
EthexLoto_105.xlsx,313
EthexLoto_105.xlsx,711
EthexLoto_1763.xlsx,87
EthexLoto_1763.xlsx,313
EthexLoto_1763.xlsx,711
Exchange_5101.xlsx,1304
F1DeltaCrate_911.xlsx,558
Fomo5k_1041.xlsx,18
Fomo5k_1041.xlsx,23
FountainTokenUpgrade_3486.xlsx,116
FountainTokenUpgrade_3486.xlsx,121
FountainTokenUpgrade_3486.xlsx,309
GoMoney2_3677.xlsx,156
GtanToken_472.xlsx,112
GranC_1174.xlsx,336
GranC_1174.xlsx,357
HashTimeLock_1912.xlsx,48
HashTimeLock_1912.xlsx,59
HEXPOOL_966.xlsx,450
HEXPOOL_966.xlsx,457
HEXPOOL_966.xlsx,462
IdallToken_2209.xlsx,326
IzeToken_1884.xlsx,421
Jobchain_1838.xlsx,291
Jobchain_1838.xlsx,296
Jobchain_1838.xlsx,349
KillToken_774.xlsx,203
KillToken_774.xlsx,210
KOLVote_2618.xlsx,246
KOLVote_2618.xlsx,250
KOLVote_2618.xlsx,254
KOKContract_927.xlsx,56
KUBToken_2498.xlsx,17
KUBToken_2498.xlsx,23
KUBToken_2498.xlsx,310
KUBToken_2498.xlsx,316
LivenCoin_4956.xlsx,113
LYFToken_4375.xlsx,422
LYFToken_4375.xlsx,477
MainContract_700.xlsx,38
MainContract_700.xlsx,46
MACH_4281.xlsx,520
MainToken_1573.xlsx,348
MainToken_1573.xlsx,353
MainToken_1855.xlsx,348
MainToken_1855.xlsx,353
MainToken_2031.xlsx,348
MainToken_2031.xlsx,353
MainToken_2645.xlsx,696
MainToken_2645.xlsx,706
MakerManager_2841.xlsx,384
MakerManager_2841.xlsx,392
MakerManager_2841.xlsx,400
MakerManager_2841.xlsx,465
MakerManager_2841.xlsx,754
MakerV2Manager_2847.xlsx,268
MakerV2Manager_2847.xlsx,286
MakerV2Manager_2847.xlsx,294
MakerV2Manager_2847.xlsx,302
MakerV2Manager_2847.xlsx,391
ManagerProxy_1995.xlsx,134
ManagerProxy_1995.xlsx,140
ManagerProxy_1995.xlsx,146
ManagerProxy_1995.xlsx,152
MarbleCoin_5629.xlsx,134
MarbleCoin_5629.xlsx,646
MarketplaceElectron_712.xlsx,197
MarketplaceElectron_712.xlsx,202
MarketplaceElectron_712.xlsx,211
MarketplaceElectron_712.xlsx,360
MarketplaceElectron_712.xlsx,354
MarketplaceElectron_712.xlsx,4912
MedianBATUSD_3356.xlsx,74
MysteriousSound_5081.xlsx,518
Oracle_4469.xlsx,445
Oracle_4469.xlsx,454
Oracle_5372.xlsx,468
Payroll_3365.xlsx,33
Payroll_3365.xlsx,1572
Payroll_3365.xlsx,1583
Payroll_3365.xlsx,1591
PostCert_2383.xlsx,126
PumaPayPullPaymentV2_2_859.xlsx,246
PumaPayPullPaymentV2_2_859.xlsx,250
PumaPayPullPaymentV2_2_859.xlsx,258
PumaPayPullPaymentV2_2_859.xlsx,262
PumaPayPullPaymentV2_2_859.xlsx,266
PumaPayPullPaymentV2_2_859.xlsx,289
PumaPayPullPaymentV2_2_859.xlsx,294
PumaPayPullPaymentV2_2_859.xlsx,298
PZMToken_827.xlsx,72
PZMToken_827.xlsx,77
RampInstantTokenEscrows_2772.xlsx,108
RampInstantTokenEscrows_2772.xlsx,208
RampInstantTokenEscrows_2772.xlsx,238
RampInstantTokenEscrows_2772.xlsx,213
RampInstantEthEscrows_2773.xlsx,70
RampInstantEthEscrows_2773.xlsx,164
RampInstantEthEscrows_2773.xlsx,169
RampInstantEthEscrows_2773.xlsx,194
RelayHub_5451.xlsx,245
SelfServiceEditionCurationV4_2587.xlsx,253
SmartexCrowdsale_286.xlsx,342
SmartexToken_288.xlsx,544
Smartex_4754.xlsx,34
Smartex_4754.xlsx,39
Smartex_4754.xlsx,44
Smartex_4754.xlsx,49
Smartex_4754.xlsx,54
Smartlevel_3010.xlsx,39
Smartlevel_3010.xlsx,44
Smartlevel_3010.xlsx,49
Smartlevel_3010.xlsx,54
Smartlevel_3010.xlsx,59
SmartexExchange_123.xlsx,288
StakingContract_2171.xlsx,683
StakingContract_2171.xlsx,689
StakingContract_2171.xlsx,695
StandardBounties_2396.xlsx,375
StandardBounties_2396.xlsx,720
StandardBounties_2396.xlsx,727
StandardBounties_2396.xlsx,734
StandardBounties_2396.xlsx,742
StandardBounties_2396.xlsx,750
StandardBounties_2396.xlsx,758
StandardBounties_2396.xlsx,766
StandardBounties_2396.xlsx,775
StandardBounties_2396.xlsx,785
StandardBounties_2396.xlsx,795
StandardBounties_2396.xlsx,804
StandardBounties_2396.xlsx,811
StandardBounties_2396.xlsx,819
SYNCContract_2381.xlsx,248
TelomereToken_3562.xlsx,405
TelomereToken_3562.xlsx,410
SynchroBitcoin_2570.xlsx,241
SynchroBitcoin_2570.xlsx,253
THENODE_4431.xlsx,212
TimeAlly_5756.xlsx,473
Token_2270.xlsx,195
Token_2270.xlsx,200
Token_2270.xlsx,205
Token_2270.xlsx,210
Token_2610.xlsx,661
TokenAsset_2310.xlsx,363
TokenAsset_2310.xlsx,448
TokenFaucet_5894.xlsx,931
TokenFaucet_5894.xlsx,936
TokenPriceProvider_2845.xlsx,166
TokenProxy_289.xlsx,201
TokenProxy_3653.xlsx,284
TokenProxy_3653.xlsx,367
TokenProxy_3653.xlsx,375
TokenProxy_3653.xlsx,383
TotlePrimary_698.xlsx,872
TransferManager_2850.xlsx,200
TransferManager_2850.xlsx,218
TransferManager_2850.xlsx,226
TransferManager_2850.xlsx,234
TransferManager_2850.xlsx,323
TrueProfileLogic_4656.xlsx,136
Unipool_1030.xlsx,538
Unipool_1030.xlsx,606
UniSwapRemoveLiquityGeneral_v1_1481.xlsx,33
WET_4895.xlsx,73
Zedd_4521.xlsx,107
ZXLToken_487.xlsx,336
