contract,line
_0xEthereumToken_1664.xlsx,200
_0x_1611.xlsx,200
AFX_938.xlsx,200
ALSC_3050.xlsx,147
ATOMUCOIN_3220.xlsx,162
AroundTheWorldTravel_2725.xlsx,162
BatPay_5272.xlsx,437
BusinessAlliance_2268.xlsx,162
CENNZReward_4072.xlsx,110
COMBO_227.xlsx,301
CoinSuter_1909.xlsx,173
CSPLSPLGatewayV11_1507.xlsx,2005
DEXT_589.xlsx,200
DharmaReserveManagerV2_782.xlsx,480
DMEX_Oracle_1196.xlsx,104
ERC20toUniPoolZapV2_General_554.xlsx,682
ETH_1169.xlsx,200
ETH_1259.xlsx,200
ETH_1260.xlsx,200
ETH_1262.xlsx,200
ETH_960.xlsx,200
Ethbus_1370.xlsx,353
EthexLoto_105.xlsx,261
EthexLoto_1763.xlsx,261
EWEUR_4724.xlsx,431
F1DeltaCrate_911.xlsx,1494
FlitToken_3078.xlsx,145
GODGame_838.xlsx,320
OffChainOrFeedPriceFeed_2858.xlsx,62
PumaPayPullPaymentV2_2_859.xlsx,376
RelayHub_5451.xlsx,1482
RICH_731.xlsx,226
SelfServiceEditionCurationV4_2587.xlsx,807
SEAK_3786.xlsx,138
ShitCoin_5444.xlsx,200
TetherToken_2078.xlsx,716
TokenFaucet_5894.xlsx,371
TotlePrimary_698.xlsx,107
TrueProfileLogic_4656.xlsx,162
Unipool_1030.xlsx,583
UniSwap_ETH_DAIZap_2709.xlsx,454
TZVC_4813.xlsx,220
UniSwapRemoveLiquityGeneral_v1_1481.xlsx,733
USDX_193.xlsx,200
WET_4895.xlsx,186
WrapperDai_2603.xlsx,874
yCurveExchange_486.xlsx,632
yCurveZapIn_721.xlsx,328
yDAI_1246.xlsx,396
yDAI_868.xlsx,457
ZEBELLION_293.xlsx,200
Zedd_4521.xlsx,277
