contract,line
AccountCreator_822.xlsx,425
AccountLogic_1962.xlsx,268
Aggregator_1751.xlsx,378
Aggregator_1751.xlsx,966
Aggregator_2289.xlsx,378
Aggregator_2289.xlsx,966
ALTESFINANCEGROUP_3311.xlsx,28
AppProxyUpgradeable_2399.xlsx,1683
AuthorizationDataSource_4941.xlsx,226
AToken_2035.xlsx,1600
AToken_2035.xlsx,2067
AToken_2035.xlsx,2177
AToken_2035.xlsx,5327
AToken_2035.xlsx,5487
AToken_2035.xlsx,6044
AToken_2035.xlsx,6251
BatPay_5272.xlsx,265
AuthorizationDataSource_517.xlsx,234
CashQuestBot_4865.xlsx,103
CASTWEETTOKEN_5548.xlsx,118
Cat_3298.xlsx,106
CryptoGames_22.xlsx,64
Cube_748.xlsx,341
CSPLSPLGatewayV11_1507.xlsx,2020
DappLogic_866.xlsx,10
DappLogic_866.xlsx,572
DappLogic_1959.xlsx,266
DharmaReserveManagerV2_782.xlsx,15
DMEX_Trading_1195.xlsx,90
DMEX_Trading_1195.xlsx,115
DMEX_Trading_1195.xlsx,317
DMEX_Trading_1195.xlsx,1188
DSSLeverage_311.xlsx,197
Ethbus_1370.xlsx,165
ETHERAUK_1151.xlsx,31
EtheremonTrade_3437.xlsx,154
EtheremonTrade_3437.xlsx,338
EthexLoto_105.xlsx,63
EthexLoto_105.xlsx,283
EthexLoto_105.xlsx,1188
EticaRelease_3466.xlsx,552
EticaRelease_3466.xlsx,571
EthexLoto_1763.xlsx,63
EthexLoto_1763.xlsx,283
EthexLoto_1763.xlsx,1188
Exchange_5101.xlsx,118
Exchange_5101.xlsx,294
EXMR_FDN_3730.xlsx,174
Exchange_1439.xlsx,90
F1DeltaCrate_911.xlsx,1388
Flipper_3276.xlsx,101
Flopper_2989.xlsx,105
Fomo5k_1041.xlsx,45
FountainTokenUpgrade_3486.xlsx,293
GODGame_838.xlsx,59
GODGame_838.xlsx,177
HashTimeLock_1912.xlsx,9
HedgeContract_1066.xlsx,717
HEXPOOL_966.xlsx,414
HEXPOOL_966.xlsx,1016
IOCrypto_5033.xlsx,16
Jug_3300.xlsx,73
KOLVote_2618.xlsx,284
LitionRegistry_3369.xlsx,129
LitionPool_636.xlsx,47
LitionPool_636.xlsx,395
MainContract_700.xlsx,340
MainContract_700.xlsx,892
MainContract_700.xlsx,1284
MaiProtocol_2737.xlsx,155
MaiProtocol_2737.xlsx,608
MakerV2Manager_2847.xlsx,691
MarketplaceElectron_712.xlsx,1431
MarketplaceElectron_712.xlsx,2002
MarketplaceElectron_712.xlsx,2625
MarketplaceElectron_712.xlsx,3720
MarketplaceElectron_712.xlsx,3370
MarketplaceElectron_712.xlsx,4400
MarketplaceElectron_712.xlsx,430
MarketplaceElectron_712.xlsx,4280
MarketplaceElectron_712.xlsx,4997
MarketplaceElectron_712.xlsx,5848
MarketplaceElectron_712.xlsx,6238
OrchidLottery_2494.xlsx,47
Payroll_3365.xlsx,1554
Payroll_3365.xlsx,1710
Payroll_3365.xlsx,1994
Payroll_3365.xlsx,2226
OracleFactory_4365.xlsx,64
PIXBY_3753.xlsx,52
PrivatixServiceContract_5562.xlsx,50
PumaPayPullPaymentV2_2_859.xlsx,226
RebalanceAuctionModule_5367.xlsx,613
RelayHub_5451.xlsx,1363
RelayHub_5451.xlsx,1648
RelayHub_5451.xlsx,1767
RebalancingSetExchangeIssuanceModule_5123.xlsx,1874
SignedOperationProxy_4814.xlsx,700
SignedOperationProxy_4814.xlsx,1164
Smartex_4754.xlsx,22
Smartlevel_3010.xlsx,27
SmartexExchange_123.xlsx,259
StakingContract_2171.xlsx,611
SquareQueue_377.xlsx,73
StandardBounties_2396.xlsx,679
TimeAlly_5756.xlsx,381
Token_2270.xlsx,188
TokenFaucet_5894.xlsx,1021
TokenFaucet_5894.xlsx,1559
TokenProxy_3653.xlsx,769
TotlePrimary_698.xlsx,795
TransferManager_2850.xlsx,623
TrueProfileLogic_4656.xlsx,201
Vat_3302.xlsx,42
yDAI_1246.xlsx,279
yDAI_868.xlsx,311
YottaCoin_5079.xlsx,72
YottaCoin_5079.xlsx,106
