contract,line
Aggregator_1751.xlsx,302
Aggregator_1751.xlsx,617
Aggregator_2289.xlsx,302
Aggregator_2289.xlsx,617
APPCrowdsale_5746.xlsx,222
APPCrowdsale_5746.xlsx,467
AppProxyUpgradeable_2399.xlsx,397
AppProxyUpgradeable_2399.xlsx,303
AppProxyUpgradeable_2399.xlsx,714
AppProxyUpgradeable_2399.xlsx,995
ApprovedTransfer_2848.xlsx,260
AToken_2035.xlsx,2041
AToken_2035.xlsx,2503
AToken_2035.xlsx,3238
AToken_2035.xlsx,4993
AToken_2035.xlsx,5980
BiggCash_5860.xlsx,209
BiggCash_5860.xlsx,445
BitcoinProtocol_1160.xlsx,64
Broker_1432.xlsx,61
BrokerV2_4263.xlsx,241
CENNZReward_4072.xlsx,11
CfoCoin_3726.xlsx,220
CfoCoin_3726.xlsx,465
Chai_2893.xlsx,43
CIMCoin_3145.xlsx,104
CIMCoin_3145.xlsx,390
COMBO_227.xlsx,77
CompoundManager_2842.xlsx,382
CompoundManager_2842.xlsx,736
CryptoGames_22.xlsx,40
CryptoMorphMint_1428.xlsx,440
Cube_748.xlsx,296
CSPLSPLGatewayV11_1507.xlsx,796
CSPLSPLGatewayV11_1507.xlsx,1486
CSPLSPLGatewayV11_1507.xlsx,1857
DaiBackstopSyndicateV3_305.xlsx,877
DappLogic_866.xlsx,1043
DappLogic_1959.xlsx,584
DarkCountry_166.xlsx,481
DeltaTimeInventory_913.xlsx,77
DeltaTimeInventory_913.xlsx,2317
DelegatedSending_5861.xlsx,1905
DelegatedSending_5861.xlsx,1967
DelegatedSending_5861.xlsx,2720
DharmaReserveManagerV2_782.xlsx,242
DSSLeverage_311.xlsx,551
ERC20_5248.xlsx,7
ERC20Token_158.xlsx,487
ERC20Token_158.xlsx,920
ERC20Token_158.xlsx,1115
ERC20Token_158.xlsx,1336
EtherRouter_619.xlsx,112
EthexLoto_105.xlsx,700
EthexLoto_1763.xlsx,700
Exchange_5101.xlsx,2782
Exchange_1314.xlsx,173
