contract,line
_0xEthereumToken_1664.xlsx,143
_0xEthereumToken_1664.xlsx,167
_0x_1611.xlsx,143
_0x_1611.xlsx,167
AFX_938.xlsx,143
AFX_938.xlsx,167
AirBasicToken_803.xlsx,47
AirBasicToken_803.xlsx,86
AirBasicToken_803.xlsx,131
AirBasicToken_803.xlsx,231
AirBasicToken_803.xlsx,248
ALSC_3050.xlsx,96
ALSC_3050.xlsx,117
APIX_4276.xlsx,364
APIX_4276.xlsx,382
APIX_4276.xlsx,401
APPCrowdsale_5746.xlsx,586
APPCrowdsale_5746.xlsx,601
APPCrowdsale_5746.xlsx,855
APPCrowdsale_5746.xlsx,864
APPCrowdsale_5746.xlsx,873
ATOMUCOIN_3220.xlsx,70
ATOMUCOIN_3220.xlsx,42
ASCToken_5356.xlsx,100
ASCToken_5356.xlsx,138
ASCToken_5356.xlsx,232
AroundTheWorldTravel_2725.xlsx,70
AroundTheWorldTravel_2725.xlsx,42
AToken_2035.xlsx,529
AToken_2035.xlsx,547
AToken_2035.xlsx,566
BiggCash_5860.xlsx,332
BiggCash_5860.xlsx,350
BiggCash_5860.xlsx,369
BETRA_4337.xlsx,155
BETRA_4337.xlsx,173
BETRA_4337.xlsx,192
BitcoinProtocol_1160.xlsx,246
BitcoinProtocol_1160.xlsx,257
Broadcast_704.xlsx,85
BOMBXToken_3837.xlsx,271
BOMBXToken_3837.xlsx,280
BOMBXToken_3837.xlsx,288
BusinessAlliance_2268.xlsx,70
BusinessAlliance_2268.xlsx,42
CashQuestBot_4865.xlsx,522
CASTWEETTOKEN_5548.xlsx,157
CASTWEETTOKEN_5548.xlsx,173
CASTWEETTOKEN_5548.xlsx,242
CfoCoin_3726.xlsx,343
CfoCoin_3726.xlsx,361
CfoCoin_3726.xlsx,380
Chai_2893.xlsx,117
Chai_2893.xlsx,174
CIMCoin_3145.xlsx,223
CIMCoin_3145.xlsx,286
CIMCoin_3145.xlsx,426
CIMCoin_3145.xlsx,456
CIMCoin_3145.xlsx,495
COMBO_227.xlsx,158
COMBO_227.xlsx,262
COMBO_227.xlsx,273
CryptoMorphMint_1428.xlsx,683
CryptoMorphMint_1428.xlsx,700
CryptoMorphMint_1428.xlsx,727
CoinSuter_1909.xlsx,79
CoinSuter_1909.xlsx,50
CSPLSPLGatewayV11_1507.xlsx,1039
CSPLSPLGatewayV11_1507.xlsx,1056
CSPLSPLGatewayV11_1507.xlsx,1083
CRYPTOBUCKS_856.xlsx,245
cUSD_1550.xlsx,85
cUSD_1550.xlsx,105
cUSD_1550.xlsx,135
Dai_3287.xlsx,124
Dai_3287.xlsx,140
DaiBackstopSyndicateV3_305.xlsx,492
DaiBackstopSyndicateV3_305.xlsx,510
DaiBackstopSyndicateV3_305.xlsx,529
DATA1TokenERC20_448.xlsx,47
DATA1TokenERC20_448.xlsx,86
DarkCountry_166.xlsx,724
DarkCountry_166.xlsx,741
DarkCountry_166.xlsx,768
DCEP_3712.xlsx,45
DCEP_3712.xlsx,57
DeltaTimeInventory_913.xlsx,2555
DEXT_589.xlsx,143
DEXT_589.xlsx,167
DigitalBitsToken_5560.xlsx,202
DigitalBitsToken_5560.xlsx,264
DigitalBitsToken_5560.xlsx,280
DigitalBitsToken_5560.xlsx,293
DoDreamChain_1905.xlsx,148
DoDreamChain_1905.xlsx,166
DPTToken_5820.xlsx,110
DPTToken_5820.xlsx,156
DoYourTip_1971.xlsx,139
DoYourTip_1971.xlsx,168
DoYourTip_1971.xlsx,210
DoYourTip_1971.xlsx,220
DoYourTip_1971.xlsx,228
EDC_456.xlsx,112
EDC_456.xlsx,152
DrepToken_4954.xlsx,41
DrepToken_4954.xlsx,51
EpayCoin_3758.xlsx,133
EpayCoin_3758.xlsx,185
EpayCoin_3758.xlsx,268
ERC20_3670.xlsx,147
ERC20_3670.xlsx,156
ERC20_3670.xlsx,209
ERC20_5248.xlsx,72
ERC20Token_158.xlsx,610
ERC20Token_158.xlsx,628
ERC20Token_158.xlsx,647
ERC20Token_648.xlsx,177
ERC20Token_648.xlsx,193
ERC20Token_648.xlsx,207
ERC20Token_928.xlsx,48
ERC20Token_928.xlsx,58
ERDToken_4266.xlsx,343
ERDToken_4266.xlsx,361
ERDToken_4266.xlsx,380
ESCHToken_5458.xlsx,32
ESCHToken_5458.xlsx,47
ESCHToken_5458.xlsx,115
ESCHToken_5458.xlsx,127
ETH_1169.xlsx,143
ETH_1169.xlsx,167
ETH_1259.xlsx,143
ETH_1259.xlsx,167
ETH_1260.xlsx,143
ETH_1260.xlsx,167
ETH_1262.xlsx,143
ETH_1262.xlsx,167
ETH_960.xlsx,143
ETH_960.xlsx,167
EthexLoto_105.xlsx,895
EthexLoto_105.xlsx,913
EthexLoto_105.xlsx,932
EthexLoto_105.xlsx,1051
EticaRelease_3466.xlsx,295
EticaRelease_3466.xlsx,316
EticaRelease_3466.xlsx,899
EticaRelease_3466.xlsx,950
EticaRelease_3466.xlsx,1601
EthexLoto_1763.xlsx,895
EthexLoto_1763.xlsx,913
EthexLoto_1763.xlsx,932
EthexLoto_1763.xlsx,1051
EvoCoinToken_1122.xlsx,223
EvoCoinToken_1122.xlsx,238
EvoCoinToken_1122.xlsx,252
EWEUR_4724.xlsx,221
EWEUR_4724.xlsx,236
EWEUR_4724.xlsx,250
Exchange_1314.xlsx,133
Exchange_1314.xlsx,142
EXMR_FDN_3730.xlsx,212
EXMR_FDN_3730.xlsx,234
EXMR_FDN_3730.xlsx,259
F1DeltaCrate_911.xlsx,424
F1DeltaCrate_911.xlsx,441
F1DeltaCrate_911.xlsx,461
FCHToken_3666.xlsx,424
FCHToken_3666.xlsx,442
FCHToken_3666.xlsx,461
FCTV_4807.xlsx,154
FCTV_4807.xlsx,332
FCTV_4807.xlsx,345
FlitToken_3078.xlsx,85
FlitToken_3078.xlsx,105
FZC_441.xlsx,48
FZC_441.xlsx,86
GENEToken_5210.xlsx,53
GENEToken_5210.xlsx,63
FountainTokenUpgrade_3486.xlsx,492
FountainTokenUpgrade_3486.xlsx,503
FountainTokenUpgrade_3486.xlsx,531
FountainTokenUpgrade_3486.xlsx,560
FountainTokenUpgrade_3486.xlsx,578
FountainTokenUpgrade_3486.xlsx,613
FountainTokenUpgrade_3486.xlsx,656
FountainTokenUpgrade_3486.xlsx,673
FountainTokenUpgrade_3486.xlsx,691
FountainTokenUpgrade_3486.xlsx,748
GODGame_838.xlsx,295
GODGame_838.xlsx,341
GL_ERC20_144.xlsx,28
GL_ERC20_144.xlsx,44
GoMoney2_3677.xlsx,192
GoMoney2_3677.xlsx,210
GoMoney2_3677.xlsx,236
GtanToken_472.xlsx,124
GtanToken_472.xlsx,174
GranC_1174.xlsx,130
GranC_1174.xlsx,205
HALE_5886.xlsx,271
HALE_5886.xlsx,287
HALE_916.xlsx,275
HappyPayToken_2315.xlsx,424
HappyPayToken_2315.xlsx,442
HappyPayToken_2315.xlsx,461
HBToken_457.xlsx,12
HBToken_457.xlsx,21
HBToken_457.xlsx,67
HCE_5366.xlsx,218
HCE_5366.xlsx,233
HCE_5366.xlsx,247
HedgeContract_1066.xlsx,523
HedgeContract_1066.xlsx,541
HedgeContract_1066.xlsx,560
HKExCoin_920.xlsx,147
HKExCoin_920.xlsx,216
HumanStandardToken_327.xlsx,40
HumanStandardToken_327.xlsx,52
HEXPOOL_966.xlsx,210
HEXPOOL_966.xlsx,232
HEXPOOL_966.xlsx,261
ICNode_3699.xlsx,144
Huptex_BurnV1_0_1_3135.xlsx,108
