contract,line
BiggCash_5860.xlsx,493
BOMBXToken_3837.xlsx,189
CASTWEETTOKEN_5548.xlsx,67
CSPLSPLGatewayV11_1507.xlsx,131
CRYPTOBUCKS_856.xlsx,100
DeltaTimeInventory_913.xlsx,131
DoDreamChain_1905.xlsx,3
EDC_456.xlsx,218
DrepToken_4954.xlsx,69
ERC20toUniPoolZapV2_General_554.xlsx,433-677
ERDToken_4266.xlsx,518
EXEToken_1596.xlsx,6
GENEToken_5210.xlsx,180
FountainTokenUpgrade_3486.xlsx,72
GtanToken_472.xlsx,224
GranC_1174.xlsx,250
HKExCoin_920.xlsx,315
IdallToken_2209.xlsx,230
IzeToken_1884.xlsx,124
KillToken_774.xlsx,52
KOKContract_927.xlsx,87
LitionPool_636.xlsx,76
LUCKYToken_562.xlsx,302
MACH_4281.xlsx,184
MainToken_1573.xlsx,595
MainToken_1855.xlsx,595
MainToken_2031.xlsx,595
MainToken_2645.xlsx,1190
ManagerProxy_1995.xlsx,68
MarbleCoin_5629.xlsx,668
MysteriousSound_5081.xlsx,1426
NNCProjectToken_2895.xlsx,1325
Oracle_5372.xlsx,480
Payroll_3365.xlsx,1293
OracleFactory_4365.xlsx,322
RakunCoin_1913.xlsx,439
Scanetchain_5318.xlsx,72
SelfServiceEditionCurationV4_2587.xlsx,336
StakingContract_2171.xlsx,445
TelomereToken_3562.xlsx,121
SynchroBitcoin_2570.xlsx,170
TEPTokenV2_3216.xlsx,493
TetherToken_2078.xlsx,95
THENODE_4431.xlsx,166
Token_2610.xlsx,872
TotlePrimary_698.xlsx,130
TuneToken_5331.xlsx,87
UniSwap_ETH_DAIZap_2709.xlsx,413
TZVC_4813.xlsx,48
UniSwapRemoveLiquityGeneral_v1_1481.xlsx,485
VE_2745.xlsx,89
VIP_2122.xlsx,285
