"index","name","address","txcount","type"
1611,"_0x",8.33289101799631e+47,111,token
1664,"_0xEthereumToken",6.47371393233836e+47,240,token
822,"AccountCreator",1.38899667153314e+47,1869,other
1962,"AccountLogic",4.73014234191172e+47,528,other
798,"Acid",2.0503451460992e+47,376,token
4857,"AdminUpgradeabilityProxy",4.54839140962945e+47,9289,other
938,"AFX",2.94175049135111e+47,259,token
1751,"Aggregator",4.91219116289997e+47,484,defi
2289,"Aggregator",1.76509211063394e+47,359,defi
803,"AirBasicToken",1.19774545934012e+48,1021,token
5625,"AKTToken",1.13625523073522e+48,133,token
3050,"ALSC",1.29903397268909e+48,563,token
3311,"ALTESFINANCEGROUP",7.48310509375022e+47,719,defi
5510,"AnxToken",1.89459119254609e+47,681,token
4276,"APIX",1.39938845210955e+48,226,token
5746,"APPCrowdsale",8.64323260062309e+47,288,token
2399,"AppProxyUpgradeable",6.45261763074564e+46,208,other
2848,"ApprovedTransfer",1.17114498514309e+48,324,other
5141,"ArdCoin",1.05551396310856e+48,1992,token
2725,"AroundTheWorldTravel",1.30034215669214e+48,256,token
5356,"ASCToken",9.4462018784218e+47,9999,token
2035,"AToken",3.32423764353271e+47,787,token
3220,"ATOMUCOIN",5.9895174925674e+47,231,token
517,"AuthorizationDataSource",9.86903143270951e+47,180,other
4941,"AuthorizationDataSource",9.38212225098584e+47,603,other
5272,"BatPay",3.72029877760525e+47,176,token
4337,"BETRA",1.07299280154453e+48,833,token
5860,"BiggCash",1.24370315085992e+48,542,token
1160,"BitcoinProtocol",6.65035357606502e+47,225,token
3837,"BOMBXToken",8.84801306282829e+46,282,token
661,"BoosterPack",9.58511319511985e+47,349,defi
704,"Broadcast",1.28744503618375e+48,142,token
1432,"Broker",1.21264852035195e+48,1986,defi
4263,"BrokerV2",7.24501943534158e+47,10000,defi
2268,"BusinessAlliance",2.58685622157804e+46,364,defi
1180,"CampaignBank",1.38400831582153e+48,116,defi
502,"CapitalCoinExtended",4.58400236167093e+47,10000,token
4865,"CashQuestBot",9.8630074408251e+47,318,defi
5548,"CASTWEETTOKEN",1.50023019947954e+47,1011,token
3298,"Cat",6.90492632304138e+47,2902,other
4072,"CENNZReward",5.32989420756458e+47,306,other
3726,"CfoCoin",4.34562358921245e+46,859,token
2893,"Chai",3.81571880488782e+46,1043,other
4811,"ChainBot4000",1.11633944509793e+47,213,defi
3145,"CIMCoin",3.96337504761044e+47,248,token
630,"CLOG",1.06308553252261e+48,135,token
1188,"COINSTO",2.41352091421562e+47,464,token
1909,"CoinSuter",1.06499458539959e+48,2895,token
227,"COMBO",1.37616978650079e+48,236,token
2842,"CompoundManager",9.4679682757407e+47,2827,defi
2807,"CreativesRegistry",9.15122371029112e+47,157,other
856,"CRYPTOBUCKS",7.51920008460939e+46,2462,token
22,"CryptoGames",2.92300316644598e+47,265,game
1428,"CryptoMorphMint",8.35428874272848e+47,114,token
1507,"CSPLSPLGatewayV11",9.37121810191365e+47,263,token
748,"Cube",6.82034139035637e+47,468,other
473,"Curvepool",1.12514098672734e+47,603,defi
1550,"cUSD",5.26663946209007e+47,450,token
2079,"CypherBank",5.62875586776873e+47,401,token
3287,"Dai",6.11382286831621e+47,10000,token
305,"DaiBackstopSyndicateV3",7.1063212594003e+37,347,defi
3295,"DaiJoin",8.64056892077296e+47,921,defi
866,"DappLogic",7.56426880348997e+47,2634,other
1959,"DappLogic",2.56001767070835e+47,199,other
166,"DarkCountry",1.20932828074416e+48,444,token
448,"DATA1TokenERC20",5.63827276177914e+47,8496,token
3712,"DCEP",3.87026076800215e+47,245,token
5861,"DelegatedSending",1.41334410974904e+48,1175,other
913,"DeltaTimeInventory",2.45293428388325e+47,1203,token
1141,"Deposit",1.1997020055213e+48,420,other
589,"DEXT",6.55579188478248e+47,964,token
1045,"DharmaDeploymentHelper",6.17534836722329e+47,203,defi
3976,"DharmaKeyRingFactoryV2",2.08467366234167e+47,483,defi
782,"DharmaReserveManagerV2",1.14431327869169e+48,1866,defi
4707,"DharmaSmartWalletFactoryV1",1.4386831004479e+48,343,defi
5560,"DigitalBitsToken",1.06149284779454e+48,312,token
3182,"DinngoProxy",2.20061436462742e+47,207,defi
1196,"DMEX_Oracle",1.0887520361895e+48,224,defi
1195,"DMEX_Trading",9.7920511967421e+47,341,defi
1905,"DoDreamChain",7.84029701357082e+47,827,token
1971,"DoYourTip",6.62379854541365e+47,780,token
5820,"DPTToken",6.88672620688967e+47,121,token
4954,"DrepToken",1.99069786219725e+47,1008,token
311,"DSSLeverage",4.34349962922104e+47,199,defi
456,"EDC",9.46359998205923e+47,7440,token
3758,"EpayCoin",7.96639291105057e+47,1910,token
3670,"ERC20",3.66172559845644e+46,829,token
5248,"ERC20",5.52533245437356e+47,161,token
158,"ERC20Token",3.45945024462343e+47,196,token
648,"ERC20Token",3.67755086969012e+47,107,token
928,"ERC20Token",9.78289502754351e+47,487,token
554,"ERC20toUniPoolZapV2_General",4.51063263995601e+47,115,defi
4266,"ERDToken",1.4249379337072e+48,760,token
5458,"ESCHToken",9.5986739527539e+47,9831,token
960,"ETH",5.68691235664285e+47,1998,token
1169,"ETH",1.42056733191991e+48,1892,token
1259,"ETH",1.43726693341824e+48,852,token
1260,"ETH",1.39829361567566e+48,6565,token
1262,"ETH",6.1705120047865e+47,325,token
1370,"Ethbus",7.57590754025822e+47,274,game
1151,"ETHERAUK",6.57792375644396e+47,192,defi
908,"EtherCloud",1.14769262542631e+48,504,token
3437,"EtheremonTrade",5.0003413783886e+47,144,defi
1658,"Ethereumscash",1.42838621221091e+48,1779,defi
619,"EtherRouter",4.75425489906594e+47,246,other
105,"EthexLoto",1.50055991118251e+47,335,game
1763,"EthexLoto",8.07888801481194e+46,2147,game
3466,"EticaRelease",8.07274887002623e+47,604,other
4292,"EventRecorder",9.65542673060399e+47,496,other
1122,"EvoCoinToken",1.37235938111757e+48,538,token
4724,"EWEUR",3.46361170522463e+47,121,token
1314,"Exchange",9.72574293731781e+47,10000,defi
1439,"Exchange",1.77271226516622e+47,171,defi
5101,"Exchange",6.98730240350902e+47,1697,defi
1596,"EXEToken",3.72092941866341e+47,122,token
3730,"EXMR_FDN",2.91864381614739e+47,575,token
911,"F1DeltaCrate",1.29762932085424e+48,263,token
3204,"FaucetPay",1.3947475799621e+48,410,defi
3666,"FCHToken",8.19202703475056e+47,102,token
4807,"FCTV",1.28868977730798e+48,108,token
3276,"Flipper",1.23671703620813e+48,10000,other
3078,"FlitToken",1.02373473692683e+48,384,token
2989,"Flopper",4.42929063478422e+47,650,other
1173,"Flower",4.52478031073006e+47,1539,token
1041,"Fomo5k",4.23584779983318e+47,9093,defi
1277,"Forwarder",4.26213913516489e+47,700,other
3486,"FountainTokenUpgrade",1.01525538394984e+48,256,token
441,"FZC",1.81728542261771e+47,194,token
5210,"GENEToken",1.32984229108994e+48,361,token
144,"GL_ERC20",6.45001307108791e+47,785,token
838,"GODGame",1.50026065772339e+47,368,game
3677,"GoMoney2",4.13728000654727e+47,753,token
1174,"GranC",1.36481765244969e+48,591,token
472,"GtanToken",1.17610397314871e+48,150,token
916,"HALE",3.87907863476241e+47,849,token
5886,"HALE",1.41824737861962e+48,107,token
2315,"HappyPayToken",1.36388157709021e+48,177,token
4933,"HarmonyOne",6.94227948378467e+47,183,token
1912,"HashTimeLock",1.4010201492989e+48,533,other
457,"HBToken",1.75800073773712e+47,10000,token
5366,"HCE",7.65312938081336e+47,1015,token
1066,"HedgeContract",2.26710972007065e+47,107,token
966,"HEXPOOL",1.10428925795067e+48,113,token
920,"HKExCoin",3.70447002909207e+47,4296,token
327,"HumanStandardToken",3.25794943172522e+47,1010,token
3135,"Huptex_BurnV1_0_1",7.96503730727904e+47,141,token
3699,"ICNode",6.95065654246914e+47,729,token
2209,"IdallToken",1.17892454508352e+48,160,token
3746,"Inflationary",8.02788930355459e+47,232,token
5033,"IOCrypto",4.90672834774037e+47,186,defi
2414,"IPOS",1.41915122726567e+47,639,token
1884,"IzeToken",1.18462191788155e+48,162,token
1623,"jackpot",3.55184876823597e+47,154,token
1838,"Jobchain",1.27731005370938e+48,109,token
3300,"Jug",1.47019704193603e+47,681,other
841,"JUSToken",1.18690309505512e+47,533,token
3989,"KeyboardToken",1.17649077926577e+48,103,token
774,"KillToken",1.34472977384657e+48,325,token
1153,"KOCToken",1.43230325064293e+48,594,token
927,"KOKContract",8.88244889058201e+47,3925,token
2618,"KOLVote",5.2961780394584e+46,3818,token
1656,"KriosToken",3.78720749855706e+47,595,token
2498,"KUBToken",1.12816562130351e+48,631,token
4753,"LinkdropFactory",1.06198592737871e+48,101,defi
636,"LitionPool",1.29952524870517e+48,977,defi
3369,"LitionRegistry",6.99206984729831e+47,306,defi
4956,"LivenCoin",1.14632027515169e+48,247,token
562,"LUCKYToken",1.30434453622914e+48,10000,token
